periodo,anio,fecha_descarga,distrito_fiscal,tipo_fiscalia,materia,especialidad,tipo_caso,especializada,ingresado,atendido,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte,año_descarga
ENERO - DICIEMBRE,2020,2021-08-01,AMAZONAS,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,21,21,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2021
ENERO - DICIEMBRE,2020,2021-08-01,AMAZONAS,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,8,3,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2021
ENERO - DICIEMBRE,2020,2021-08-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,214,186,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2021
ENERO - DICIEMBRE,2020,2021-08-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,190,152,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2021
ENERO - DICIEMBRE,2020,2021-08-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,57,50,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2021
ENERO - DICIEMBRE,2020,2021-08-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,NO_TIPO_ESPECIALIZADA,245,238,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2021
ENERO - DICIEMBRE,2020,2021-08-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,37,34,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2021
ENERO - DICIEMBRE,2020,2021-08-01,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,DENUNCIA,NO_TIPO_ESPECIALIZADA,10,10,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2021
ENERO - DICIEMBRE,2020,2021-08-01,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,10,10,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2021
ENERO - DICIEMBRE,2020,2021-08-01,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,CRIMINALIDAD ORGANIZADA,6,5,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2021
ENERO - DICIEMBRE,2020,2021-08-01,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE CORRUPCION DE FUNCIONARIOS,288,273,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2021
