periodo,anio,fecha_descarga,distrito_fiscal,tipo_fiscalia,materia,especialidad,tipo_caso,especializada,ingresado,atendido,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte,año_descarga
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,78,49,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,12,10,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,530,509,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,353,328,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,112,106,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,NO_TIPO_ESPECIALIZADA,468,453,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,57,55,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,DENUNCIA,NO_TIPO_ESPECIALIZADA,19,18,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,4,4,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,CRIMINALIDAD ORGANIZADA,21,20,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE CORRUPCION DE FUNCIONARIOS,296,280,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,MATERIA AMBIENTAL,293,293,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE TRAFICO ILICITO DE DROGAS,45,45,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,2,2,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
ENERO - DICIEMBRE,2021,2022-11-01,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR,1532,1053,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-15,2022
