periodo,anio,fecha_descarga,distrito_fiscal,tipo_fiscalia,materia,especialidad,tipo_caso,especializada,ingresado,atendido,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte,año_descarga
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,83,50,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,132,120,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,301,278,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,345,301,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,105,102,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,NO_TIPO_ESPECIALIZADA,510,476,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,52,45,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,DENUNCIA,NO_TIPO_ESPECIALIZADA,84,70,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,CONTRA LA CRIMINALIDAD ORGANIZADA,25,25,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE CORRUPCION DE FUNCIONARIOS,489,464,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE TRAFICO ILICITO DE DROGAS,84,84,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,MATERIA AMBIENTAL,371,371,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,VIOLENCIA CONTRA LA MUJER Y LOS INTEGRANTES DEL GRUPO FAMILIAR,1659,1629,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,12158,11598,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,PENAL,PENAL,EXPEDIENTE,DELITOS DE CORRUPCION DE FUNCIONARIOS,1,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,PENAL,PENAL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,9,2,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,DELITOS DE CORRUPCION DE FUNCIONARIOS,1,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,MATERIA AMBIENTAL,84,84,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,NO_TIPO_ESPECIALIZADA,1080,1073,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,SUPERIOR,CIVIL,CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,1,0,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,2,2,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA CIVIL,INCIDENTE,NO_TIPO_ESPECIALIZADA,5,5,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
ENERO - DICIEMBRE,2023,2024-01-08,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA PENAL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,4,3,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2024-01-24,2024
