periodo,anio,fecha_descarga,distrito_fiscal,tipo_fiscalia,materia,especialidad,tipo_caso,especializada,ingresado,atendido,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte,año_descarga
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,124,109,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,6,6,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,253,245,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,275,250,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA PENAL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,83,78,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,DENUNCIA,NO_TIPO_ESPECIALIZADA,384,373,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,41,41,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,DENUNCIA,NO_TIPO_ESPECIALIZADA,24,23,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,FAMILIA,VIOLENCIA FAMILIAR,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,30,30,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,CRIMINALIDAD ORGANIZADA,18,18,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,3,3,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,NO_TIPO_ESPECIALIZADA,182,181,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE CORRUPCION DE FUNCIONARIOS,294,281,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,DELITOS DE TRAFICO ILICITO DE DROGAS,48,48,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,PENAL,PENAL,EXPEDIENTE,DELITOS DE CORRUPCION DE FUNCIONARIOS,1,0,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,MATERIA AMBIENTAL,465,465,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,MATERIA AMBIENTAL,85,85,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,PENAL,PENAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,10404,9725,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,PENAL,PENAL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,12,7,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,PROVINCIAL,PENAL,PENAL,INVESTIGACION PREVENTIVA,NO_TIPO_ESPECIALIZADA,213,209,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,SUPERIOR,CIVIL,CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,26,26,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,7,7,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA PENAL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,5,5,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,SUPERIOR,FAMILIA,FAMILIA TUTELAR,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,4,4,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,SUPERIOR,FAMILIA,VIOLENCIA FAMILIAR,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,19,19,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,SUPERIOR,FAMILIA,VIOLENCIA FAMILIAR,INCIDENTE,NO_TIPO_ESPECIALIZADA,36,36,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,SUPERIOR,PENAL,PENAL,APELACION DENUNCIA,NO_TIPO_ESPECIALIZADA,461,446,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,SUPERIOR,PENAL,PENAL,CONSULTAS,NO_TIPO_ESPECIALIZADA,123,123,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,SUPERIOR,PENAL,PENAL,EXCLUSION FISCAL,NO_TIPO_ESPECIALIZADA,20,18,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,SUPERIOR,PENAL,PENAL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,122,82,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,SUPERIOR,PENAL,PENAL,INCIDENTE-EXPEDIENTE,NO_TIPO_ESPECIALIZADA,1,0,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,AMAZONAS,SUPERIOR,PENAL,PENAL,QUEJAS,NO_TIPO_ESPECIALIZADA,377,369,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,ANCASH,PROVINCIAL,CIVIL,CIVIL,EXPEDIENTE,NO_TIPO_ESPECIALIZADA,285,284,20101,ANCASH,HUARAZ,HUARAZ,2023-06-14,2020
ENERO - DICIEMBRE,2019,2020-01-13,ANCASH,PROVINCIAL,FAMILIA,ACTOS CONTRA LA LIBERTAD SEXUAL,DENUNCIA,NO_TIPO_ESPECIALIZADA,10,9,20101,ANCASH,HUARAZ,HUARAZ,2023-06-14,2020
